gid,cp,period,lead_margin,mc_win,cum_at,cum_min,buy_won,buy_fair,ml
bdl_3594,Q2_5,2,6,0.019,0.868,0.242,0,0.42207792207792205,136.92307692307693
bdl_3595,Q2_5,2,9,0.125,0.988,0.984,0,0.21052631578947367,375.0
bdl_3596,Q2_5,2,7,0.016,0.975,0.548,0,0.23776223776223782,320.58823529411757
bdl_3597,Q2_5,2,3,0.041,0.732,0.616,1,0.4225352112676056,136.66666666666666
bdl_3598,Q4_7.5,4,2,0.61,0.61,0.61,1,0.234375,326.6666666666667
bdl_3599,Q3_5,3,2,0.669,0.669,0.263,0,0.4747474747474747,110.63829787234044
bdl_3600,Q2_5,2,5,0.001,0.894,0.894,0,0.39860139860139865,150.8771929824561
bdl_3601,Q2_5,2,2,0.011,0.691,0.107,1,0.4388489208633094,127.86885245901635
bdl_3602,Q2_2.5,2,9,0.013,0.96,0.895,0,0.21052631578947367,375.0
bdl_3603,Q2_2.5,2,17,0.0565,0.999,0.999,0,0.0625,1500.0
bdl_3604,Q3_5,3,8,0.333,0.905,0.893,0,0.1707317073170732,485.7142857142856
bdl_3605,Q2_5,2,1,0.552,0.773,0.773,1,0.4513274336283186,121.56862745098036
bdl_3606,Q2_5,2,11,0.5685,0.995,0.863,1,0.2210526315789474,352.38095238095235
bdl_3607,Q3_END,3,2,0.264,0.625,0.113,1,0.4747474747474747,110.63829787234044
bdl_3608,Q3_END,3,3,0.014,0.692,0.628,0,0.44545454545454544,124.48979591836738
bdl_3609,Q3_5,3,12,0.049,0.996,0.971,0,0.08139534883720934,1128.5714285714282
bdl_3610,Q2_2.5,2,6,0.071,0.918,0.898,1,0.42207792207792205,136.92307692307693
bdl_3611,Q3_2.5,3,2,0.599,0.599,0.599,0,0.4747474747474747,110.63829787234044
bdl_3612,Q2_END,2,4,0.67,0.755,0.755,1,0.3486842105263158,186.79245283018867
bdl_3613,Q2_2.5,2,7,0.418,0.888,0.781,0,0.23776223776223782,320.58823529411757
bdl_3614,Q2_7.5,2,1,0.639,0.639,0.161,0,0.4513274336283186,121.56862745098036
bdl_3615,Q2_END,2,8,0.598,0.95,0.399,0,0.26515151515151514,277.14285714285717
bdl_3616,Q2_7.5,2,2,0.686,0.686,0.229,1,0.4388489208633094,127.86885245901635
bdl_3617,Q2_5,2,6,0.663,0.932,0.932,1,0.42207792207792205,136.92307692307693
bdl_3618,Q2_2.5,2,12,0.0,0.993,0.753,0,0.1578947368421053,533.3333333333331
bdl_3619,Q2_7.5,2,1,0.561,0.561,0.513,1,0.4513274336283186,121.56862745098036
bdl_3620,Q3_7.5,3,7,0.009,0.874,0.874,0,0.21705426356589153,360.7142857142856
bdl_3621,Q2_5,2,11,0.501,0.994,0.943,0,0.2210526315789474,352.38095238095235
bdl_3622,Q2_2.5,2,13,0.603,0.996,0.996,0,0.14102564102564108,609.0909090909088
bdl_3623,Q2_2.5,2,1,0.035,0.522,0.522,1,0.4513274336283186,121.56862745098036
bdl_3624,Q3_7.5,3,4,0.004,0.767,0.767,0,0.34905660377358494,186.48648648648646
bdl_3625,Q3_7.5,3,13,0.455,0.997,0.997,0,0.11250000000000004,788.8888888888886
bdl_3626,Q2_5,2,4,0.639,0.824,0.824,0,0.3486842105263158,186.79245283018867
bdl_3627,Q2_7.5,2,1,0.465,0.465,0.465,1,0.4513274336283186,121.56862745098036
bdl_3628,Q2_5,2,3,0.0,0.821,0.662,1,0.4225352112676056,136.66666666666666
bdl_3629,Q2_5,2,5,0.338,0.814,0.28,1,0.39860139860139865,150.8771929824561
bdl_3630,Q3_7.5,3,8,0.49,0.929,0.836,0,0.1707317073170732,485.7142857142856
bdl_3631,Q2_2.5,2,7,0.409,0.9085,0.821,0,0.23776223776223782,320.58823529411757
bdl_3632,Q3_2.5,3,15,0.045,0.994,0.957,0,0.030303030303030276,3200.0000000000027
bdl_3633,Q2_5,2,5,0.085,0.914,0.73,1,0.39860139860139865,150.8771929824561
bdl_3634,Q2_7.5,2,1,0.665,0.665,0.333,0,0.4513274336283186,121.56862745098036
bdl_3635,Q2_5,2,12,0.268,0.997,0.767,0,0.1578947368421053,533.3333333333331
bdl_3636,Q3_7.5,3,21,0.5005,1.0,0.997,0,0.02857142857142858,3399.9999999999986
bdl_3637,Q2_7.5,2,2,0.69,0.69,0.105,0,0.4388489208633094,127.86885245901635
bdl_3638,Q3_END,3,14,0.074,0.999,0.999,0,0.05882352941176472,1599.9999999999995
bdl_3639,Q3_5,3,18,0.24,1.0,1.0,0,0.015873015873015928,6199.999999999978
bdl_3640,Q3_7.5,3,16,0.6135,0.998,0.998,0,0.02083333333333337,4699.999999999992
bdl_3641,Q2_2.5,2,3,0.0,0.726,0.518,1,0.4225352112676056,136.66666666666666
bdl_3643,Q2_2.5,2,2,0.0,0.733,0.648,0,0.4388489208633094,127.86885245901635
bdl_3644,Q2_END,2,13,0.0,0.996,0.996,0,0.14102564102564108,609.0909090909088
bdl_3645,Q2_5,2,16,0.3375,1.0,0.865,0,0.03448275862068961,2800.0000000000036
bdl_3646,Q2_2.5,2,18,0.485,1.0,1.0,0,0.0,9900.0
bdl_3647,Q2_2.5,2,10,0.546,0.976,0.971,1,0.2666666666666667,274.9999999999999
bdl_3648,Q2_5,2,2,0.646,0.67,0.475,0,0.4388489208633094,127.86885245901635
bdl_3649,Q2_2.5,2,2,0.0,0.646,0.621,0,0.4388489208633094,127.86885245901635
bdl_3650,Q3_5,3,8,0.282,0.946,0.752,0,0.1707317073170732,485.7142857142856
bdl_3652,Q2_2.5,2,1,0.539,0.503,0.503,1,0.4513274336283186,121.56862745098036
bdl_3654,Q2_5,2,12,0.0005,0.999,0.98,0,0.1578947368421053,533.3333333333331
bdl_3655,Q3_5,3,1,0.562,0.562,0.29,1,0.4787234042553191,108.8888888888889
bdl_3656,Q2_2.5,2,3,0.033,0.669,0.622,0,0.4225352112676056,136.66666666666666
bdl_3658,Q2_END,2,1,0.568,0.568,0.264,1,0.4513274336283186,121.56862745098036
bdl_3659,Q2_5,2,13,0.259,0.993,0.993,0,0.14102564102564108,609.0909090909088
bdl_3660,Q2_END,2,5,0.0,0.831,0.831,0,0.39860139860139865,150.8771929824561
bdl_3661,Q4_5,4,14,0.336,0.999,0.999,0,0.0,9900.0
bdl_3662,Q2_7.5,2,1,0.594,0.594,0.594,0,0.4513274336283186,121.56862745098036
bdl_3664,Q2_5,2,9,0.019,0.962,0.962,1,0.21052631578947367,375.0
bdl_3665,Q2_2.5,2,5,0.34,0.856,0.856,0,0.39860139860139865,150.8771929824561
bdl_3666,Q2_5,2,6,0.0,0.937,0.264,1,0.42207792207792205,136.92307692307693
bdl_3667,Q2_5,2,3,0.044,0.753,0.753,0,0.4225352112676056,136.66666666666666
bdl_3668,Q2_2.5,2,10,0.2285,0.985,0.497,1,0.2666666666666667,274.9999999999999
bdl_3669,Q2_2.5,2,10,0.0,0.979,0.973,0,0.2666666666666667,274.9999999999999
bdl_3670,Q2_5,2,5,0.124,0.766,0.662,0,0.39860139860139865,150.8771929824561
bdl_3671,Q2_2.5,2,1,0.041,0.598,0.312,0,0.4513274336283186,121.56862745098036
bdl_3672,Q2_2.5,2,11,0.534,0.988,0.988,0,0.2210526315789474,352.38095238095235
bdl_3673,Q2_5,2,7,0.691,0.956,0.844,0,0.23776223776223782,320.58823529411757
bdl_3674,Q2_5,2,2,0.0,0.622,0.489,0,0.4388489208633094,127.86885245901635
bdl_3675,Q3_7.5,3,7,0.018,0.931,0.924,0,0.21705426356589153,360.7142857142856
bdl_3676,Q2_2.5,2,2,0.0,0.656,0.645,1,0.4388489208633094,127.86885245901635
bdl_3677,Q2_7.5,2,2,0.697,0.697,0.697,0,0.4388489208633094,127.86885245901635
bdl_3678,Q2_5,2,9,0.01,0.99,0.683,0,0.21052631578947367,375.0
bdl_3679,Q2_5,2,13,0.601,1.0,0.997,0,0.14102564102564108,609.0909090909088
bdl_3681,Q2_7.5,2,1,0.621,0.621,0.297,1,0.4513274336283186,121.56862745098036
bdl_3682,Q2_2.5,2,15,0.1405,1.0,0.999,0,0.15000000000000002,566.6666666666666
bdl_3683,Q3_7.5,3,14,0.258,0.999,0.905,0,0.05882352941176472,1599.9999999999995
bdl_3685,Q3_END,3,15,0.023,0.997,0.99,0,0.030303030303030276,3200.0000000000027
bdl_3686,Q2_2.5,2,6,0.042,0.936,0.936,0,0.42207792207792205,136.92307692307693
bdl_3687,Q3_5,3,26,0.586,1.0,1.0,0,0.0,9900.0
bdl_3689,Q2_2.5,2,2,0.0,0.716,0.172,1,0.4388489208633094,127.86885245901635
bdl_3690,Q2_2.5,2,2,0.645,0.645,0.611,1,0.4388489208633094,127.86885245901635
bdl_3691,Q2_2.5,2,2,0.002,0.706,0.388,1,0.4388489208633094,127.86885245901635
bdl_3692,Q2_2.5,2,10,0.073,0.979,0.679,1,0.2666666666666667,274.9999999999999
bdl_3693,Q2_5,2,6,0.0,0.927,0.576,0,0.42207792207792205,136.92307692307693
bdl_3694,Q2_7.5,2,1,0.575,0.575,0.575,1,0.4513274336283186,121.56862745098036
bdl_3695,Q2_2.5,2,10,0.0425,0.956,0.956,0,0.2666666666666667,274.9999999999999
bdl_3696,Q2_2.5,2,2,0.6685,0.6685,0.595,1,0.4388489208633094,127.86885245901635
bdl_3697,Q2_7.5,2,4,0.697,0.697,0.697,1,0.3486842105263158,186.79245283018867
bdl_3698,Q2_5,2,4,0.1045,0.684,0.684,1,0.3486842105263158,186.79245283018867
bdl_3699,Q2_5,2,8,0.38,0.995,0.995,0,0.26515151515151514,277.14285714285717
bdl_3700,Q2_5,2,8,0.0,0.963,0.839,1,0.26515151515151514,277.14285714285717
bdl_3702,Q2_2.5,2,7,0.39,0.905,0.905,0,0.23776223776223782,320.58823529411757
bdl_3703,Q3_5,3,9,0.312,0.942,0.932,0,0.10769230769230764,828.571428571429
bdl_3704,Q2_END,2,6,0.138,0.92,0.92,0,0.42207792207792205,136.92307692307693
bdl_3705,Q2_2.5,2,2,0.0105,0.658,0.45,1,0.4388489208633094,127.86885245901635
bdl_3707,Q3_5,3,8,0.5815,0.916,0.849,0,0.1707317073170732,485.7142857142856
bdl_3708,Q2_5,2,2,0.001,0.71,0.71,1,0.4388489208633094,127.86885245901635
bdl_3709,Q3_2.5,3,7,0.0,0.857,0.857,0,0.21705426356589153,360.7142857142856
bdl_3710,Q2_7.5,2,1,0.481,0.481,0.481,0,0.4513274336283186,121.56862745098036
bdl_3712,Q2_5,2,1,0.593,0.593,0.546,1,0.4513274336283186,121.56862745098036
